Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.5,120,173,27,AL,176,97,4.99,4,0.267,0.332
0.409,120,189.1,38,NL,199,86,3.57,15,0.27,0.306
0.333,120,145.1,26,NL,165,77,4.77,9,0.285,0.341
0.429,120,110,24,AL,117,57,4.25,3,0.272,0.328
0.636,120,104.2,23,NL,72,37,2.92,5,0.196,0.281
0.579,120,171.1,29,AL,157,81,3.78,2,0.243,0.3
0.909,120,138,26,NL,103,26,1.57,5,0.208,0.243
0.708,120,173.2,25,AL,142,55,2.33,8,0.226,0.303
0.333,120,129,32,NL,109,52,3.42,10,0.229,0.281
0.5,119,185.2,30,AL,207,98,4.36,2,0.28,0.316
0.389,119,138,33,AL,148,83,5.35,5,0.276,0.333
0.417,119,129.1,24,AL,113,65,4.04,5,0.234,0.317
0.421,119,134.1,23,AL,129,75,4.22,16,0.247,0.305
0.524,119,192,27,NL,174,80,3.7,3,0.243,0.293
0.294,119,127.2,23,NL,121,56,3.52,11,0.255,0.331
0.565,119,202,35,AL,228,83,3.39,1,0.287,0.327
0.308,119,131.2,26,AL,136,80,4.72,10,0.267,0.357
0.5,119,157.2,26,NL,168,97,5.14,8,0.268,0.34
0.273,119,125,26,NL,100,51,3.17,11,0.225,0.301
0.316,119,156,25,NL,133,80,4.27,6,0.232,0.305
0.4,119,124.2,27,AL,123,62,4.11,10,0.265,0.34
0.786,119,131.2,23,NL,116,47,3.01,2,0.237,0.303
0.438,119,136.1,27,NL,136,70,4.09,18,0.26,0.343
0.44,119,209.1,31,AL,193,93,3.83,5,0.243,0.298
0.4,118,95.1,28,AL,93,53,4.91,3,0.251,0.318
0.353,118,114.2,27,NL,121,61,4.71,8,0.267,0.311
0.688,118,114.2,23,AL,130,60,4.55,4,0.285,0.32
0.333,118,128,26,NL,142,74,4.71,15,0.281,0.349
0.421,118,163.2,24,NL,182,97,4.67,8,0.285,0.358
0.591,118,174,31,AL,187,97,4.4,3,0.27,0.291
0.556,118,100.2,28,NL,86,48,3.84,0,0.229,0.301
0.636,118,128,29,NL,109,56,3.87,9,0.229,0.275
0.333,118,125.2,33,NL,129,76,5.01,6,0.263,0.341
0.4,118,123,27,NL,118,68,4.46,16,0.251,0.332
0.571,118,167.2,23,NL,159,74,3.86,5,0.25,0.298
0.692,118,196.2,22,AL,155,73,2.97,15,0.22,0.287
0.462,117,111.1,26,NL,101,49,3.72,13,0.244,0.312
0.647,117,141.2,27,AL,121,69,4.13,5,0.228,0.267
0.571,117,118.2,26,NL,100,48,3.11,6,0.228,0.333
0.438,117,150.1,25,NL,145,73,4.07,7,0.255,0.325
0.571,117,158,26,NL,147,75,3.87,4,0.25,0.333
0.462,117,121,27,AL,134,62,3.79,3,0.279,0.311
0.52,117,187,34,AL,201,112,5.05,17,0.276,0.342
0.421,117,166,27,AL,167,88,4.39,7,0.264,0.321
0.75,117,190.1,40,AL,193,60,2.65,7,0.264,0.29
0.579,117,154.1,30,AL,139,58,3.27,13,0.237,0.289
0.565,117,189,24,AL,146,64,2.95,10,0.21,0.287
0.278,117,165.2,24,NL,187,96,4.89,10,0.289,0.335
0.682,117,172.2,23,AL,175,87,4.22,4,0.264,0.317
0.607,117,221,34,AL,227,95,3.75,31,0.266,0.3
0.647,117,129.2,29,NL,119,55,3.33,9,0.246,0.345
0.353,116,161.2,28,AL,195,109,5.46,8,0.296,0.348
0.357,116,126.2,30,NL,128,58,3.77,2,0.263,0.33
0.353,116,113.2,32,NL,115,76,5.46,7,0.264,0.37
0.526,116,180.1,27,NL,194,82,3.69,10,0.278,0.324
0.5,116,66.1,27,NL,43,13,1.63,8,0.181,0.291
0.412,116,135.1,28,AL,135,70,4.46,10,0.259,0.308
0.4,116,125.1,30,AL,113,68,4.81,19,0.242,0.353
0.611,116,137.1,35,AL,137,60,3.6,15,0.256,0.297
0.6,116,139.1,26,AL,135,49,3.1,7,0.258,0.331
0.474,116,142.1,29,NL,168,100,6.01,19,0.291,0.368
0.478,116,159.1,27,NL,154,76,3.9,8,0.254,0.315
0.471,116,179,24,NL,201,97,4.58,8,0.287,0.326
0.5,116,163,28,AL,151,71,3.75,13,0.243,0.294
0.5,116,127.2,30,AL,151,89,5.78,18,0.292,0.356
0.304,116,200,34,NL,227,126,5,22,0.286,0.333
0.684,116,155.2,26,AL,172,80,4.45,6,0.28,0.311
0.429,116,192.2,27,AL,187,86,3.78,9,0.251,0.3
0.538,115,130.2,30,AL,125,69,4.34,1,0.251,0.323
0.7,115,85,23,NL,87,58,5.29,4,0.257,0.333
0.263,115,131.1,26,AL,145,92,5.89,11,0.278,0.371
0.4,115,66.2,30,AL,44,22,2.7,13,0.186,0.279
0.52,115,185,26,AL,221,108,4.82,1,0.301,0.359
0.48,115,180.1,32,AL,195,98,4.64,3,0.276,0.339
0.533,115,102,27,NL,67,30,2.47,3,0.184,0.267
0.35,115,156.2,23,NL,159,90,5,16,0.259,0.317
0.55,115,179.1,28,NL,163,75,3.46,9,0.246,0.29
0.333,115,159,31,AL,203,96,5.38,16,0.316,0.356
0.471,115,133.1,31,NL,141,74,4.59,5,0.266,0.292
0.391,115,161.2,28,AL,193,102,5.23,6,0.299,0.349
0.5,115,145,29,NL,152,89,5.4,11,0.271,0.348
0.643,114,133.1,25,AL,112,61,3.85,4,0.225,0.27
0.25,114,102.1,28,NL,113,71,5.72,13,0.282,0.338
0.478,114,187,32,AL,225,107,4.72,10,0.303,0.35
0.357,114,114.1,34,AL,115,70,4.72,15,0.258,0.337
0.5,114,161,31,NL,171,82,4.19,5,0.268,0.309
0.455,114,164.2,24,AL,150,80,3.83,4,0.243,0.294
0.313,114,119,26,NL,141,75,5.52,14,0.306,0.394
0.429,114,133,25,AL,167,103,6.43,2,0.301,0.345
0.538,114,86.2,29,NL,61,23,2.28,4,0.197,0.288
0.5,114,138,24,NL,159,86,5.09,6,0.289,0.341
0.421,114,135.1,27,AL,169,89,5.32,5,0.307,0.374
0.652,114,184.1,34,NL,186,91,4.15,9,0.263,0.332
0.684,114,160.2,25,NL,150,85,4.43,8,0.248,0.338
0.455,114,211.2,35,NL,216,93,3.66,4,0.27,0.323
0.625,114,122,35,NL,116,51,3.61,3,0.252,0.314
0.333,113,117,26,NL,127,70,5.08,5,0.271,0.341
0.438,113,145.2,27,NL,162,93,5.38,4,0.284,0.338
0.667,113,169.2,25,NL,152,77,3.82,5,0.238,0.32
0.667,113,72.2,26,NL,45,24,2.85,9,0.176,0.299
0.474,113,176.2,28,NL,192,93,4.13,6,0.28,0.34
0.385,113,133.1,32,AL,113,56,3.38,3,0.229,0.277
0.429,113,149.1,25,AL,113,52,2.53,5,0.209,0.284
0.316,113,151,32,AL,164,87,4.89,18,0.281,0.336
0.571,113,118,29,AL,104,48,3.43,6,0.234,0.302
0.44,113,192.2,26,AL,180,83,3.5,1,0.249,0.294
0.545,113,168,24,AL,165,77,4.07,13,0.255,0.323
0.625,113,204,26,NL,213,88,3.66,12,0.275,0.337
0.533,113,121.2,29,NL,105,62,4.22,6,0.235,0.324
0.6,112,77.2,32,NL,41,25,2.43,24,0.158,0.27
0.5,112,145,27,NL,153,87,5.09,2,0.273,0.336
0.714,112,110.1,25,NL,113,47,3.67,9,0.266,0.316
0.313,112,132,29,NL,142,83,5.25,12,0.279,0.36
0.727,112,167.2,32,NL,170,70,3.49,13,0.269,0.337
0.474,112,134.1,27,AL,125,81,5.09,9,0.249,0.35
0.444,112,171,27,AL,187,113,5.53,12,0.277,0.342
0.579,112,91,25,NL,69,33,3.07,5,0.212,0.299
0.333,111,133.1,32,NL,131,75,4.79,4,0.256,0.316
0.5,111,128,29,NL,132,66,4.5,4,0.264,0.308
0.467,111,131.1,32,AL,140,76,4.52,6,0.269,0.303
0.643,111,123.1,24,NL,125,61,4.31,2,0.263,0.319
0.5,111,89.1,26,NL,63,32,2.92,11,0.195,0.276
0.5,111,152.2,27,NL,158,75,4.3,5,0.272,0.322
0.643,111,129.2,34,AL,117,53,3.54,1,0.24,0.272
0.632,111,187,24,NL,198,65,2.65,8,0.275,0.312
0.526,111,159,30,AL,155,61,3.23,12,0.255,0.319
0.647,111,130.2,23,AL,125,56,3.65,4,0.25,0.292
0.32,111,176,34,NL,197,93,4.3,15,0.284,0.328
0.556,111,211.2,34,AL,236,99,4.04,9,0.285,0.336
0.571,111,76.2,25,NL,48,16,1.88,7,0.177,0.236
0.4,111,117,33,NL,117,65,4.85,7,0.258,0.315
0.636,111,188.1,32,NL,178,80,3.39,1,0.249,0.291
0.5,110,135.2,33,NL,149,76,4.64,12,0.283,0.351
0.2,110,132.1,25,AL,128,75,4.69,1,0.254,0.321
0.294,110,133.2,34,AL,127,84,4.58,9,0.253,0.35
0.438,110,112,23,NL,125,68,4.98,2,0.283,0.361
0.353,110,135,26,AL,157,84,5.27,4,0.291,0.354
0.625,110,134.1,27,AL,145,76,4.82,7,0.276,0.341
0.471,110,114.2,25,AL,127,53,4,10,0.279,0.321
0.5,110,132,34,AL,118,59,3.89,5,0.24,0.316
0.435,110,182,28,NL,207,104,4.7,10,0.285,0.331
0.429,110,125.1,24,AL,133,78,4.24,18,0.268,0.318
0.417,110,121,28,NL,119,59,3.94,9,0.259,0.308
0.5,110,171.2,27,NL,186,82,3.83,16,0.281,0.365
0.4,110,146,25,NL,157,69,4.25,9,0.279,0.34
0.308,109,123.2,26,AL,140,94,6.33,5,0.286,0.35
0.462,109,129.2,28,NL,118,51,3.26,13,0.238,0.304
1,109,68.1,29,NL,44,11,1.32,11,0.177,0.206
0.333,109,104.1,28,AL,98,55,4.49,3,0.246,0.316
0.455,109,131.1,27,AL,123,70,4.39,5,0.248,0.291
0.526,109,141,32,AL,166,80,4.98,1,0.294,0.315
0.5,109,127.2,26,AL,131,64,4.37,16,0.265,0.299
0.5,109,130,27,AL,125,62,4.08,2,0.251,0.311
0.429,109,144.2,31,AL,151,81,4.91,3,0.27,0.339
0.818,109,72,28,AL,38,8,1,4,0.151,0.229
0.529,109,150,30,AL,162,68,4.02,12,0.276,0.332
0.25,109,114.2,26,AL,122,82,6.2,9,0.272,0.329
0.231,109,100,28,AL,89,63,5.31,13,0.239,0.338
0.636,109,124,30,NL,116,57,3.7,13,0.245,0.309
0.591,109,205.1,32,AL,221,93,3.59,3,0.277,0.315
0.318,109,188.2,30,AL,205,125,5.25,15,0.276,0.339
0.579,108,150,32,AL,144,84,4.68,2,0.253,0.324
0.462,108,110.1,32,NL,119,55,4.24,3,0.273,0.343
0.467,108,115,28,NL,118,68,4.93,4,0.266,0.313
0.571,108,160.2,26,AL,141,67,3.59,5,0.232,0.279
0.389,108,158.2,34,NL,159,98,5.33,5,0.263,0.338
0.313,108,122.1,29,NL,124,79,5.52,6,0.264,0.342
0.308,108,100,24,NL,100,51,4.32,2,0.26,0.361
0.476,108,186,25,AL,196,87,4.11,7,0.271,0.319
0.471,108,134,35,NL,157,93,5.51,18,0.293,0.374
0.286,108,172.1,37,NL,189,100,4.86,4,0.278,0.332
0.278,108,152.1,36,NL,180,99,5.85,6,0.297,0.345
0.45,108,135,37,NL,140,76,4.67,10,0.265,0.338
0.4,108,127.1,26,AL,120,63,3.75,10,0.248,0.324
0.571,108,165,35,AL,143,70,3.65,13,0.234,0.301
0.125,108,132.2,32,AL,180,96,6.04,17,0.318,0.357
0.273,108,124,28,NL,128,79,5.23,1,0.268,0.344
0.333,108,75.1,23,NL,63,25,2.63,0,0.223,0.289
0.588,108,124.2,27,AL,98,45,2.96,4,0.214,0.28
0.429,108,199,34,NL,227,119,5.07,9,0.286,0.327
0.5,108,160,32,AL,203,119,6.41,33,0.308,0.375
0.48,108,212,30,NL,210,94,3.69,9,0.266,0.324
0.385,107,107.1,38,AL,112,64,4.95,9,0.265,0.331
0.4,107,123.1,31,NL,112,64,4.45,6,0.24,0.323
0.5,107,156,24,NL,169,78,4.1,8,0.284,0.356
0.636,107,119,28,AL,116,68,5.07,4,0.256,0.332
0.714,107,120.2,28,AL,104,61,4.25,6,0.233,0.322
0.5,107,113.1,30,AL,114,48,3.26,2,0.26,0.303
0.529,107,119.1,25,NL,106,55,3.77,18,0.242,0.323
0.5,107,115.2,34,NL,96,41,2.88,12,0.226,0.297
0.4,107,180.1,31,AL,185,86,3.74,35,0.266,0.322
0.52,107,179.1,26,AL,178,91,4.47,7,0.258,0.315
0.407,107,183,32,AL,232,117,5.26,16,0.311,0.365
0.474,107,169.1,31,AL,181,93,4.57,9,0.272,0.33
0.333,107,161,37,AL,168,86,4.25,18,0.271,0.332
0.455,107,176.1,23,AL,226,101,4.59,18,0.31,0.353
0.5,107,218.2,28,NL,228,110,3.99,8,0.267,0.304
0.4,107,133,24,NL,154,69,4.2,5,0.296,0.359
0.381,107,174.1,30,NL,198,108,4.54,22,0.286,0.346
0.818,106,72.2,27,NL,76,34,3.84,6,0.266,0.331
0.545,106,81,22,AL,80,29,3.22,0,0.261,0.355
0.55,106,136.1,24,AL,130,67,4.03,19,0.254,0.316
0.542,106,174.2,34,NL,191,85,3.97,3,0.282,0.338
0.563,106,132,25,NL,136,68,4.43,9,0.264,0.312
0.435,106,184.2,26,NL,194,90,3.7,6,0.272,0.347
0.571,105,117,27,NL,109,65,4.54,3,0.244,0.305
0.375,105,73,26,NL,62,38,4.07,5,0.226,0.312
0.231,105,123.2,28,AL,140,77,5.31,18,0.281,0.335
0.25,105,119.2,33,AL,125,66,4.66,1,0.265,0.323
0.421,105,145.2,24,NL,155,92,5.31,9,0.267,0.331
0.474,105,129,25,AL,133,91,5.58,7,0.267,0.339
0.647,105,148,33,AL,125,74,4.2,8,0.228,0.308
0.524,105,147.1,28,AL,149,72,4.15,14,0.267,0.331
0.643,105,123.1,26,NL,120,51,3.28,9,0.259,0.308
0.474,105,146.2,23,NL,187,99,5.71,12,0.31,0.363
0.563,105,114.1,26,NL,117,56,4.01,2,0.268,0.33
0.2,105,110.2,26,NL,123,76,5.61,17,0.285,0.369
0.421,105,164.2,33,NL,156,84,4.1,23,0.25,0.334
0.476,105,153,31,NL,169,82,4.41,10,0.28,0.341
0.5,105,143,26,NL,158,68,3.71,2,0.281,0.342
0.556,105,164.1,26,NL,149,75,3.4,3,0.241,0.304
0.524,105,184,25,AL,190,96,4.45,2,0.267,0.33
0.611,105,135.1,28,AL,131,65,4.06,16,0.25,0.304
0.35,105,193.2,27,NL,220,111,4.74,29,0.286,0.344
0.667,104,68,32,NL,47,21,2.38,13,0.19,0.243
0.636,104,80,29,NL,56,28,2.7,3,0.192,0.246
0.462,104,126.2,27,NL,143,71,4.76,5,0.29,0.362
0.909,104,71.2,30,AL,29,18,1.88,8,0.123,0.267
0.385,104,124,27,AL,139,62,4.43,6,0.281,0.33
0.429,104,79.1,27,NL,54,20,2.16,3,0.192,0.261
0.333,104,135,30,AL,156,106,6.2,9,0.29,0.383
0.3,104,105.1,33,AL,139,81,6.41,13,0.313,0.358
0.625,104,109.2,23,AL,109,52,4.02,10,0.257,0.332
0.5,104,108.1,25,AL,79,26,2.16,9,0.206,0.251
0.353,104,147.1,28,AL,175,89,5.07,11,0.298,0.36
0.6,104,68.2,28,NL,35,14,1.83,4,0.15,0.194
0.3,104,148.2,31,NL,176,102,5.63,6,0.294,0.357
0.3,104,95.1,25,NL,81,45,4.15,3,0.228,0.297
0.5,104,131.1,27,AL,114,51,3.29,6,0.236,0.301
0.615,104,108.2,31,NL,88,36,2.98,8,0.222,0.272
0.5,104,137,27,AL,142,62,4.07,4,0.272,0.321
0.444,104,166,28,AL,176,84,4.23,7,0.279,0.348
1,104,88.1,26,NL,48,18,1.83,3,0.162,0.228
0.643,104,156,25,NL,123,51,2.31,1,0.22,0.29
0.609,104,182,22,AL,210,103,4.75,16,0.292,0.339
0.417,104,108.2,27,NL,106,72,5.71,16,0.259,0.362
0.571,104,183.1,33,NL,208,103,4.66,13,0.29,0.355
0.55,104,174.1,35,NL,165,62,2.84,9,0.251,0.299
0.375,104,134.1,26,NL,141,80,5.16,11,0.274,0.355
0.778,104,69.1,38,NL,38,14,1.43,3,0.159,0.238
0.818,103,96,26,AL,84,35,2.62,2,0.23,0.282
0.2,103,112,26,NL,104,56,4.5,3,0.248,0.334
0.333,103,143.2,34,AL,155,91,5.64,10,0.274,0.331
0.429,103,101.1,28,NL,81,36,2.66,4,0.217,0.271
0.667,103,102,30,AL,101,54,4.41,7,0.258,0.362
1,103,69,26,AL,34,14,1.83,5,0.147,0.211
0.368,103,154,29,NL,169,83,4.21,5,0.282,0.326
0.417,103,117,35,AL,116,72,5.23,9,0.253,0.334
0.381,103,160,31,AL,204,111,6.08,10,0.313,0.359
0.667,103,79.2,33,NL,55,20,1.92,2,0.19,0.241
0.476,103,198.2,25,AL,205,110,4.39,8,0.27,0.337
0.5,103,178,33,AL,209,106,5.06,20,0.297,0.345
0.364,103,112.1,24,AL,109,56,4.25,3,0.251,0.299
0.222,103,108,29,NL,99,44,2.83,6,0.245,0.306
0.667,103,67,27,AL,40,11,1.21,3,0.17,0.228
0.467,103,128.2,29,NL,117,58,4.06,10,0.248,0.31
0.588,102,159.2,26,NL,155,73,3.55,10,0.256,0.313
0.375,102,96,29,AL,102,50,4.31,6,0.271,0.332
0.25,102,152.1,30,AL,172,93,4.9,3,0.284,0.332
0.25,102,85.2,25,AL,81,55,5.57,7,0.242,0.317
0.667,102,134.2,22,NL,128,72,4.68,4,0.254,0.32
0.286,102,65.2,25,AL,60,32,4.11,5,0.234,0.306
0.5,102,80.1,27,NL,59,26,2.58,6,0.202,0.281
0.375,102,113,31,NL,116,67,5.1,12,0.265,0.342
0.357,102,118.2,35,NL,134,76,5.54,3,0.282,0.333
0.467,102,136.2,26,AL,137,64,4.08,5,0.265,0.34
0.615,102,126,30,AL,108,55,3.43,13,0.228,0.276
0.444,102,146.2,25,NL,143,70,3.99,16,0.261,0.341
0.696,102,179,36,NL,168,77,3.62,2,0.248,0.305
0.409,102,222,35,AL,262,123,4.3,24,0.294,0.327
0.364,102,101.1,28,NL,80,54,4.26,12,0.22,0.346
0.375,102,185.1,28,NL,228,119,5.1,8,0.303,0.36
0.571,102,175,23,NL,187,94,4.58,29,0.277,0.34
0.727,101,96.1,29,AL,80,56,4.58,6,0.219,0.295
0.429,101,125.1,27,AL,156,86,5.89,3,0.302,0.357
0.462,101,111,28,AL,105,55,3.81,3,0.246,0.282
0.667,101,71,29,AL,57,21,2.54,6,0.216,0.282
0.308,101,111,27,NL,101,41,3.32,5,0.238,0.277
0.714,101,91.1,32,AL,69,32,2.76,5,0.207,0.249
0.75,101,94.1,28,AL,95,55,5.15,12,0.259,0.343
0.5,101,109.2,31,AL,84,35,2.38,6,0.213,0.279
0.4,101,65.1,26,NL,55,20,2.76,6,0.224,0.277
0.563,101,128.2,24,AL,107,49,3.22,16,0.226,0.292
0.409,101,185.1,32,AL,218,89,4.18,6,0.297,0.337
0.5,101,134.1,25,AL,134,65,3.75,7,0.257,0.326
0.278,101,152.2,29,AL,184,92,5.19,10,0.3,0.358
0.467,101,145,25,AL,151,73,4.16,10,0.269,0.321
0.8,101,74.1,38,AL,33,10,1.09,1,0.13,0.163
0.643,101,125.1,31,AL,117,49,3.16,10,0.248,0.315
0.563,101,145.2,30,NL,154,80,4.82,4,0.278,0.346
0.786,101,129,38,AL,123,52,3.28,2,0.257,0.316
0.556,100,73,29,NL,41,17,1.73,6,0.159,0.219
0.4,100,113.1,27,NL,117,69,5.16,11,0.265,0.353
0.529,100,137,31,AL,153,78,4.27,4,0.278,0.306
0.333,100,68.2,25,AL,52,34,4.33,5,0.209,0.328
0.636,100,110,30,AL,90,52,3.76,15,0.227,0.305
0.462,100,112,23,NL,127,61,4.34,5,0.285,0.358
0.467,100,102.1,31,AL,105,61,5.1,4,0.263,0.369
0.4,100,115.1,25,NL,113,56,4.06,2,0.253,0.298
0.818,100,80.1,30,AL,46,12,0.78,7,0.158,0.217
0.615,100,80.2,26,AL,50,26,2.68,12,0.174,0.247
0.381,100,156,33,AL,167,88,4.62,8,0.271,0.334
0.467,100,130.2,27,NL,103,52,3.38,6,0.219,0.31
0.5,100,123.1,30,NL,134,69,4.96,2,0.276,0.311
0.294,100,129.1,28,NL,131,74,4.8,1,0.259,0.328
0.75,100,121.2,31,NL,94,40,2.81,5,0.213,0.286
0.3,100,107,23,AL,99,58,4.71,2,0.242,0.311
0.5,100,71,27,NL,66,36,3.8,5,0.248,0.334
0.4,100,142.1,28,NL,166,90,5.37,9,0.296,0.371
0.1,100,124,33,AL,131,67,4.72,7,0.273,0.337
0.588,100,117.1,22,NL,109,43,3.22,9,0.253,0.302
0.5,100,154.1,25,NL,137,61,3.38,4,0.237,0.278
1,100,66.2,26,AL,40,9,1.08,16,0.17,0.28
0.571,100,109,24,NL,109,55,4.46,10,0.26,0.328
0.8,100,69.2,28,NL,58,28,3.62,7,0.221,0.299
0.176,99,112.2,26,AL,131,82,6.07,10,0.291,0.382
0.353,99,124.2,28,AL,118,50,2.96,8,0.248,0.299
0.211,99,153,31,AL,177,97,5.29,6,0.291,0.36
0.455,99,122.1,29,NL,107,62,4.12,5,0.237,0.323
0.455,99,114.1,26,NL,119,50,3.54,7,0.272,0.319
0.286,99,69.1,26,AL,56,26,2.99,4,0.219,0.291
0.455,99,111.2,29,AL,92,42,3.14,13,0.224,0.251
0.333,99,130.2,27,NL,132,75,4.34,4,0.26,0.315
0.625,99,65,24,NL,33,18,2.35,5,0.146,0.23
0.294,99,141.1,21,NL,159,97,5.09,10,0.279,0.332
0.381,99,175.1,36,NL,199,98,4.47,9,0.291,0.337
0.25,99,74,28,NL,54,33,4.01,12,0.205,0.344
0.5,99,210.1,31,AL,246,105,4.28,6,0.295,0.332
0.5,98,69,28,AL,66,35,4.17,6,0.247,0.309
0.526,98,129.1,21,AL,117,50,3.41,2,0.242,0.317
0.3,98,89.1,24,NL,64,32,3.12,1,0.202,0.279
0.467,98,109.1,24,AL,117,59,4.77,2,0.277,0.327
0.7,98,84.1,28,NL,72,37,3.74,7,0.228,0.292
0.818,98,68.1,32,AL,35,14,1.84,1,0.148,0.231
0.412,98,116,25,NL,131,57,3.88,18,0.289,0.345
0.429,98,89,23,AL,93,44,3.54,5,0.269,0.361
0.571,98,115,26,NL,120,56,4.23,3,0.268,0.333
0.5,98,109.1,27,NL,104,49,3.62,9,0.251,0.324
0.625,98,121.2,22,AL,120,55,3.85,2,0.255,0.312
0.727,98,164,30,NL,153,52,2.41,0,0.246,0.281
0.5,98,93.2,24,NL,98,41,3.65,8,0.265,0.345
0.333,98,68.2,27,AL,55,29,3.8,5,0.216,0.303
0.571,98,67,25,NL,39,10,1.21,3,0.166,0.24
0.5,98,121.2,25,NL,136,58,3.92,4,0.289,0.327
0.438,98,104.1,29,NL,112,58,4.83,7,0.275,0.338
0.4,98,68.1,27,NL,48,21,2.5,2,0.191,0.263
0.429,98,137.2,30,AL,139,73,4.58,14,0.263,0.313
0.8,98,165.1,24,AL,163,74,3.7,10,0.258,0.322
0.632,98,140.1,33,AL,136,68,4.17,5,0.254,0.326
0.571,97,72.1,25,AL,47,31,3.48,1,0.184,0.267
0.188,97,119.2,27,AL,125,78,5.34,19,0.265,0.327
0.529,97,124.2,26,AL,123,66,4.76,1,0.255,0.313
0.385,97,115.1,26,AL,106,57,4.14,5,0.245,0.325
0.625,97,129.2,28,NL,106,37,2.43,3,0.225,0.274
0.286,97,112.2,27,NL,116,65,4.95,15,0.267,0.314
0.462,97,109.2,26,NL,108,56,4.1,7,0.256,0.311
0.5,97,154.1,23,AL,162,93,4.61,7,0.276,0.342
0.6,97,155,34,AL,152,71,3.77,12,0.258,0.321
0.5,97,121.2,27,AL,134,55,3.92,17,0.283,0.335
0.3,97,162.1,29,NL,160,72,3.66,7,0.262,0.321
0.5,96,71.1,27,NL,54,31,3.28,7,0.205,0.273
0.455,96,90.1,23,AL,80,46,4.58,6,0.235,0.308
0.462,96,80,32,AL,92,48,5.29,3,0.288,0.325
0.333,96,80,23,NL,62,26,2.81,6,0.212,0.305
0.667,96,70,28,AL,45,19,2.31,2,0.179,0.221
0.538,96,91.2,31,AL,78,43,4.12,5,0.227,0.298
1,96,65.1,29,NL,46,20,2.76,1,0.196,0.261
0.6,96,140.1,22,AL,133,50,3.08,7,0.252,0.317
0.375,96,65,30,AL,56,26,3.46,3,0.226,0.29
0.6,96,78.1,22,NL,49,37,4.25,3,0.178,0.291
0.706,96,123.1,35,NL,140,73,5.11,2,0.286,0.351
0.8,96,74.2,26,AL,59,28,3.13,7,0.22,0.325
0.5,96,129,31,NL,137,77,4.81,13,0.271,0.34
0.571,96,97,31,NL,89,35,3.06,5,0.246,0.32
0.923,96,108.1,28,AL,75,23,1.74,6,0.2,0.27
0.467,96,139.1,30,AL,155,81,4.97,8,0.284,0.347
0.357,96,137.2,27,AL,152,76,4.77,3,0.279,0.338
0.353,96,123.2,29,AL,139,79,5.09,20,0.279,0.321
0.417,96,103.2,28,NL,90,48,3.91,2,0.236,0.301
0.5,96,99.2,25,AL,81,38,3.34,3,0.223,0.305
0.231,96,142.1,35,NL,179,94,5.69,9,0.314,0.368
0.6,96,146.2,34,AL,152,63,3.62,22,0.268,0.322
0.5,96,162.1,28,NL,163,69,3.38,14,0.263,0.302
0.75,96,88,26,NL,53,19,1.84,2,0.176,0.289
0.348,96,159,27,NL,212,115,5.72,10,0.321,0.37
0.4,96,108.2,31,AL,103,53,3.98,3,0.248,0.269
0.385,95,111.1,23,NL,111,64,5.09,1,0.261,0.32
0.538,95,114,25,NL,91,54,3.47,5,0.216,0.309
0.583,95,83.1,28,AL,75,43,4.54,1,0.237,0.314
0.889,95,65,23,AL,55,33,4.43,5,0.224,0.285
0.385,95,135,32,AL,132,61,3.73,10,0.254,0.306
0.154,95,113.1,26,NL,141,81,6.04,8,0.303,0.346
0.533,95,131.1,37,NL,120,60,3.97,7,0.245,0.299
0.412,95,132.1,31,NL,123,75,4.49,0,0.251,0.356
0.4,95,105,28,NL,102,50,4.03,8,0.258,0.321
0.5,95,111.2,30,AL,117,61,4.92,10,0.268,0.307
0.7,94,73,29,AL,53,27,2.84,1,0.197,0.25
0.286,94,111.2,32,AL,102,61,4.76,7,0.241,0.28
0.727,94,75.2,27,AL,64,22,2.5,8,0.229,0.269
0.75,94,72.1,31,AL,45,18,1.99,2,0.177,0.252
0.556,94,66.1,25,NL,29,22,2.98,5,0.134,0.273
0.333,94,130.2,31,AL,138,84,5.72,5,0.271,0.348
0.545,94,97,27,AL,84,48,3.43,9,0.229,0.288
0.313,94,117,26,AL,133,80,5.69,4,0.286,0.343
0.25,94,88.2,37,AL,104,63,6.19,12,0.291,0.365
0.55,94,155.1,29,AL,184,76,4.4,7,0.293,0.311
0.467,94,137.1,28,NL,128,61,4,7,0.25,0.313
0.278,94,143.2,24,AL,170,73,4.39,10,0.295,0.325
0.4,94,104,29,AL,120,66,4.76,1,0.281,0.303
0.455,94,107,22,NL,95,41,3.2,0,0.234,0.298
0.313,94,127.1,32,AL,131,75,5.23,15,0.266,0.32
0.571,94,99.1,23,AL,93,49,3.99,8,0.247,0.309
0.35,94,170.1,28,NL,175,100,4.76,16,0.27,0.342
0.727,93,76,33,NL,59,18,2.01,4,0.211,0.253
0.75,93,69,27,NL,39,18,2.09,4,0.161,0.236
0.6,93,74,27,NL,44,19,2.31,2,0.17,0.226
0.5,93,90.2,29,NL,84,40,3.47,2,0.244,0.287
0.5,93,111.1,34,NL,116,62,4.77,13,0.274,0.337
0.444,93,139.1,31,AL,130,80,4.78,3,0.25,0.324
0.333,93,124.2,33,AL,139,77,5.13,5,0.287,0.326
0.389,93,127.2,27,NL,152,73,4.86,11,0.305,0.361
0.583,93,105,23,NL,108,43,3.43,2,0.269,0.325
