Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.529,185,156.2,28,AL,127,76,3.79,8,0.218,0.308
0.391,185,194.1,23,NL,168,82,3.47,25,0.233,0.292
0.474,180,180,27,AL,171,91,4.15,2,0.248,0.3
0.409,180,174.2,27,NL,157,79,3.81,15,0.24,0.302
0.45,178,200.1,25,AL,197,87,3.32,9,0.257,0.304
0.474,177,206.1,26,AL,218,81,3.36,11,0.272,0.315
0.429,174,179.2,25,AL,183,76,3.61,3,0.262,0.312
0.375,174,168.1,30,NL,166,95,4.28,10,0.258,0.319
0.474,173,171,22,AL,133,76,3.74,10,0.211,0.279
0.348,218,174.1,24,NL,185,105,4.9,10,0.267,0.339
0.381,214,213.2,28,NL,210,109,4.34,15,0.256,0.325
0.364,202,220,29,NL,205,94,3.6,25,0.246,0.295
0.471,202,196.1,27,NL,187,85,3.67,15,0.25,0.313
0.471,191,183,24,NL,136,71,3,13,0.207,0.281
0.308,190,213.2,37,NL,205,122,4.59,33,0.256,0.343
0.333,184,171.2,25,AL,188,116,5.45,17,0.275,0.332
0.4,183,201.1,27,NL,207,103,4.34,4,0.269,0.333
0.471,182,151,22,NL,108,59,3.34,4,0.199,0.29
0.333,188,164,25,NL,163,91,4.77,6,0.261,0.32
0.412,175,162.1,30,NL,130,68,3.38,19,0.219,0.314
0.429,229,178.2,32,NL,140,82,3.98,24,0.213,0.284
0.353,218,147.1,30,AL,123,80,4.4,8,0.221,0.284
0.333,207,175.2,27,AL,184,98,4.82,16,0.266,0.322
0.4,207,211,33,NL,207,79,3.16,4,0.255,0.278
0.353,176,186,26,NL,177,93,3.77,16,0.25,0.321
0.615,172,210,29,NL,173,72,2.83,16,0.228,0.307
0.588,172,170.2,32,NL,158,79,3.74,15,0.242,0.289
0.5,171,177.1,30,NL,179,98,4.57,11,0.262,0.326
0.731,171,203.2,28,AL,207,89,3.89,10,0.263,0.315
0.261,171,205.1,24,NL,183,82,3.02,18,0.238,0.308
0.579,171,200.2,24,NL,189,99,4.04,6,0.253,0.325
0.583,171,200,25,AL,171,91,3.83,5,0.226,0.28
0.522,171,191.2,25,NL,176,82,3.57,10,0.244,0.315
0.625,171,200.2,24,AL,171,75,3.23,12,0.229,0.316
0.526,170,181.2,28,NL,176,90,4.26,10,0.256,0.318
0.667,170,190,26,NL,142,53,2.13,13,0.207,0.262
0.478,170,176,24,AL,152,90,4.55,11,0.232,0.319
0.5,170,171.2,23,NL,151,58,2.78,7,0.239,0.294
0.636,170,185.2,22,NL,173,69,3.2,7,0.246,0.302
0.679,170,217,26,NL,205,73,2.78,1,0.252,0.302
0.652,170,204,29,AL,161,83,3.35,21,0.217,0.311
0.765,169,126,28,AL,96,38,2.71,9,0.209,0.271
0.4,169,184,25,AL,203,119,5.38,13,0.279,0.342
0.556,169,153.2,31,NL,114,70,4.04,7,0.202,0.272
0.438,169,171.1,31,NL,154,74,3.57,7,0.241,0.313
0.579,169,175.2,29,NL,181,79,3.79,8,0.269,0.336
0.667,169,208,25,AL,166,71,2.73,7,0.217,0.274
0.667,169,213.1,31,AL,193,87,3.59,25,0.239,0.299
0.625,169,173.1,22,NL,152,65,3.06,9,0.234,0.299
0.7,169,141.2,24,NL,125,62,3.68,13,0.236,0.301
0.571,169,222,24,NL,217,98,3.49,10,0.255,0.301
0.583,169,200.1,31,AL,187,103,4.4,10,0.244,0.299
0.63,169,222.2,27,AL,221,104,3.92,36,0.259,0.324
0.476,168,153.1,27,NL,128,82,4.52,8,0.223,0.301
0.6,168,190,25,AL,179,96,4.26,5,0.248,0.32
0.474,168,165,23,AL,176,82,4.04,17,0.273,0.332
0.545,168,184,31,AL,182,89,4.11,22,0.257,0.33
0.565,168,208,26,NL,206,97,3.68,16,0.256,0.306
0.476,168,189.2,28,NL,173,90,4.03,7,0.243,0.298
0.478,168,186,32,NL,198,99,4.55,9,0.27,0.323
0.474,168,194,25,NL,163,87,3.8,12,0.228,0.304
0.5,167,166.2,29,NL,151,77,3.89,11,0.238,0.295
0.667,167,211.1,34,AL,177,85,3.28,11,0.225,0.286
